query,label
Code chương trình quản lý thư viện,2
Hãy cho tôi câu hỏi về array passing Pascal,0
Sinh câu hỏi kiểm tra về lambda Python,0
Cho tôi câu hỏi về DHCP server,0
Tạo câu hỏi trắc nghiệm về binary search tree,0
Đưa ra câu hỏi về text file handling Pascal,0
Làm câu hỏi về data validation Excel,0
Tạo câu hỏi về cloud computing cơ bản,0
Sinh câu hỏi thi chọn HSG quốc gia tin,0
Cho tôi câu hỏi về graph traversal,0
Tạo câu hỏi ôn tập về enumeration Pascal,0
Kiểm tra code có follow DRY principle không,1
Đánh giá câu trả lời về normalization đúng không,1
Chấm điểm và xếp hạng bài code,1
Xem code có scalable không,1
Review câu trả lời về worst case scenario,1
Đánh giá xem code có maintainable không,1
Kiểm tra code có security issues không,1
Chấm bài đồ án tin học này,1
Xem code này có professional không,1
Đánh giá tính robust của code,1
Viết chương trình tìm phần tử lặp lại,2
Tạo dashboard trong Excel với chart,2
Code thuật toán Bellman-Ford,2
Giải thích sự khác biệt TCP và UDP,2
Viết hàm tính giai thừa có memoization,2
Hướng dẫn compare documents trong Word,2
Tạo master slide trong PowerPoint,2
Viết chương trình kiểm tra dãy con tăng,2
Giải thích cách thức NAT hoạt động,2
Code game tic-tac-toe console,2
Tạo câu hỏi về scope variable Pascal,0
Sinh câu hỏi kiểm tra về list comprehension Python,0
Cho tôi câu hỏi về DNS resolution,0
Tạo câu hỏi trắc nghiệm về heap data structure,0
Đưa ra câu hỏi về type casting Pascal,0
Làm câu hỏi về array formula Excel,0
Tạo câu hỏi về IoT và sensors,0
Sinh câu hỏi Olympic tin học Châu Á,0
Cho tôi câu hỏi về minimum spanning tree,0
Tạo câu hỏi ôn tập về set type Pascal,0
Đánh giá code có readable không,1
Kiểm tra câu trả lời về indexing database đúng chưa,1
Chấm điểm bài thi Olympic tin,1
Xem code có handle concurrency không,1
Review câu trả lời về best case performance,1
Đánh giá xem query có avoid N+1 problem không,1
Kiểm tra code có proper naming convention không,1
Chấm bài nghiên cứu thuật toán này,1
Xem code này có enterprise-ready không,1
Đánh giá performance bottleneck của code,1
Viết chương trình tìm chuỗi con chung dài nhất,2
Tạo macro VBA trong Excel,2
Code thuật toán A* pathfinding,2
Giải thích cách thức packet switching,2
Viết hàm binary search đệ quy,2
Hướng dẫn mail merge với Excel data,2
Tạo transition effects trong PowerPoint,2
Viết chương trình giải bài toán ba lô,2
Giải thích khái niệm latency và throughput,2
Code chương trình quản lý kho hàng,2
Hãy tạo câu hỏi về operator precedence Pascal,0
Sinh câu hỏi kiểm tra về decorator Python,0
Cho tôi câu hỏi về routing protocol,0
Tạo câu hỏi trắc nghiệm về red-black tree,0
Đưa ra câu hỏi về unit Pascal programming,0
Làm câu hỏi về power query Excel,0
Tạo câu hỏi về cybersecurity basics,0
Sinh câu hỏi thi ACM ICPC regional,0
Cho tôi câu hỏi về topological sort,0
Tạo câu hỏi ôn tập về dynamic array Pascal,0
Kiểm tra xem code có memory efficient không,1
Đánh giá câu trả lời về query optimization đúng không,1
Chấm điểm bài thi học kỳ tin học,1
Xem code có thread-safe không,1
Review câu trả lời về average case complexity,1
Đánh giá xem code có testable không,1
Kiểm tra code có proper error handling không,1
Chấm bài tiểu luận thuật toán này,1
Xem code này có production-ready không,1
Đánh giá code smell và anti-patterns,1
Viết chương trình đếm số lần xuất hiện phần tử,2
Tạo pivot table trong Excel,2
Code thuật toán Prim's algorithm,2
Giải thích cách thức load balancing,2
Viết hàm merge hai mảng đã sắp xếp,2
Hướng dẫn create table of contents Word,2
Tạo embedded video trong PowerPoint,2
Viết chương trình tìm đường đi Euler,2
Giải thích khái niệm CDN hoạt động,2
Code chương trình mô phỏng bãi đỗ xe,2
Tạo ra câu hỏi về exception handling Pascal,0
Sinh câu hỏi kiểm tra về generator Python,0
Cho tôi câu hỏi về VLAN configuration,0
Tạo câu hỏi trắc nghiệm về trie data structure,0
Đưa ra câu hỏi về generic types Pascal,0
Làm câu hỏi về what-if analysis Excel,0
Tạo câu hỏi về machine learning basics,0
Sinh câu hỏi thi Codeforces style,0
Cho tôi câu hỏi về network flow algorithms,0
Tạo câu hỏi ôn tập về interface Pascal,0
Đánh giá code có follow SOLID principles không,1
Kiểm tra câu trả lời về transaction isolation đúng không,1
Chấm điểm bài thi thử Olympic tin,1
Xem code có avoid race condition không,1
Review câu trả lời về amortized complexity,1
Đánh giá xem architecture có scalable không,1
Kiểm tra code có proper documentation không,1
Chấm bài khóa luận tin học này,1
Xem code này có industry standard không,1
Đánh giá technical debt trong code,1
Viết chương trình kiểm tra biểu thức ngoặc,2
Tạo conditional formatting rules Excel,2
Code thuật toán Huffman encoding,2
Giải thích cách thức content delivery network,2
Viết hàm quick select algorithm,2
Hướng dẫn cross-reference trong Word,2
Tạo custom animation timeline PowerPoint,2
Viết chương trình tìm chu trình Hamilton,2
Giải thích khái niệm QoS networking,2
Code chương trình đặt phòng khách sạn,2
Hãy cho tôi câu hỏi về inline assembly Pascal,0
Sinh câu hỏi kiểm tra về asyncio Python,0
Cho tôi câu hỏi về BGP protocol,0
Tạo câu hỏi trắc nghiệm về B-tree structure,0
Đưa ra câu hỏi về object Pascal OOP,0
Làm câu hỏi về solver add-in Excel,0
Tạo câu hỏi về blockchain technology,0
Sinh câu hỏi thi Google Code Jam,0
Cho tôi câu hỏi về strongly connected components,0
Tạo câu hỏi ôn tập về multithreading Pascal,0
Kiểm tra code có low coupling high cohesion không,1
Đánh giá câu trả lời về ACID properties đúng không,1
Chấm điểm bài thi chọn đội tuyển tin,1
Xem code có proper separation of concerns không,1
Review câu trả lời về cache complexity,1
Đánh giá xem design pattern có appropriate không,1
Kiểm tra code có code coverage adequate không,1
Chấm bài nghiên cứu khoa học tin học này,1
Xem code này có enterprise architecture không,1
Đánh giá maintainability index của code,1
